"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FITB","Fifth Third Bancorp","30.75","21078992037","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fitb",
"FITBI","Fifth Third Bancorp","27.45","494100000","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fitbi",
"FNGN","Financial Engines, Inc.","44.725","2842285512.675","n/a","2010","Finance","Investment Managers","https://www.nasdaq.com/symbol/fngn",
"FISI","Financial Institutions, Inc.","32.35","514540175.25","n/a","1999","Finance","Major Banks","https://www.nasdaq.com/symbol/fisi",
"FNSR","Finisar Corporation","16.78","1924579851.48","n/a","1999","Technology","Semiconductors","https://www.nasdaq.com/symbol/fnsr",
"FNJN","Finjan Holdings, Inc.","2.9","80423751.2","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/fnjn",
"FNTE","FinTech Acquisition Corp. II","9.95","237738663.35","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fnte",
"FNTEU","FinTech Acquisition Corp. II","10.42","0","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fnteu",
"FNTEW","FinTech Acquisition Corp. II","1.2","0","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fntew",
"FEYE","FireEye, Inc.","16.795","3223442936.375","n/a","2013","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/feye",
"FBNC","First Bancorp","41.93","1243684346.31","n/a","1987","Finance","Major Banks","https://www.nasdaq.com/symbol/fbnc",
"FNLC","First Bancorp, Inc (ME)","29.195","316749605.165","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fnlc",
"FRBA","First Bank","13.7","253928253.3","n/a","2013","n/a","n/a","https://www.nasdaq.com/symbol/frba",
"BUSE","First Busey Corporation","32.44","1580591442.96","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/buse",
"FBIZ","First Business Financial Services, Inc.","26","227874920","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbiz",
"FCAP","First Capital, Inc.","37.1","124543364.4","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fcap",
"FCFS","First Cash, Inc.","92.3","4191826836.6","n/a","1991","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/fcfs",
"FCBP","First Choice Bancorp","28.48","205233430.4","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcbp",
"FCNCA","First Citizens BancShares, Inc.","442.67","5316645981.35","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcnca",
"FCBC","First Community Bancshares, Inc.","34.86","584615202.78","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcbc",
"FCCO","First Community Corporation","23.85","181276456.5","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fcco",
"FBNK","First Connecticut Bancorp, Inc.","26.025","416137876.2","n/a","2011","Finance","Banks","https://www.nasdaq.com/symbol/fbnk",
"FDEF","First Defiance Financial Corp.","62.88","641190504","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fdef",
"FFBC","First Financial Bancorp.","32.1","3139727996.1","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffbc",
"FFBCW","First Financial Bancorp.","21","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffbcw",
"FFIN","First Financial Bankshares, Inc.","52.85","3573900389.5","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffin",
"THFF","First Financial Corporation Indiana","44.2","541672989","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/thff",
"FFNW","First Financial Northwest, Inc.","18.21","196293311.04","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffnw",
"FFWM","First Foundation Inc.","19.49","761638717.64","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ffwm",
"FGBI","First Guaranty Bancshares, Inc.","27.86","245367895.5","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fgbi",
"FHB","First Hawaiian, Inc.","29.6","4044338398.4","n/a","2016","Finance","Major Banks","https://www.nasdaq.com/symbol/fhb",
"INBK","First Internet Bancorp","35.075","296416194.375","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/inbk",
"INBKL","First Internet Bancorp","25.5","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/inbkl",
"FIBK","First Interstate BancSystem, Inc.","43.9","2489305424.4","n/a","2010","Finance","Major Banks","https://www.nasdaq.com/symbol/fibk",
"FRME","First Merchants Corporation","46.4","2297827110.4","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/frme",
"FMBH","First Mid-Illinois Bancshares, Inc.","37.81","541974740.84","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fmbh",
"FMBI","First Midwest Bancorp, Inc.","26.51","2732775370.49","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fmbi",
"FNWB","First Northwest Bancorp","16.43","190216583.42","n/a","2015","Finance","Banks","https://www.nasdaq.com/symbol/fnwb",
"FSFG","First Savings Financial Group, Inc.","69","158011449","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fsfg",
"FSLR","First Solar, Inc.","65.9197","6905958912.7991","n/a","2006","Technology","Semiconductors","https://www.nasdaq.com/symbol/fslr",
"FAAR","First Trust Alternative Absolute Return Strategy ETF","29.5188","10331639.0376","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/faar",
"FPA","First Trust Asia Pacific Ex-Japan AlphaDEX Fund","35.12","61460070.24","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fpa",
"BICK","First Trust BICK Index Fund","29.08","241364058.16","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bick",
"FBZ","First Trust Brazil AlphaDEX Fund","13.66","8196027.32","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fbz",
"FTHI","First Trust BuyWrite Income ETF","22.621","62755200.821","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fthi",
"FCAL","First Trust California Municipal High income ETF","50.28","15084100.56","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fcal",
"FCAN","First Trust Canada AlphaDEX Fund","26.6","7980053.2","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fcan",
"FTCS","First Trust Capital Strength ETF","51.82","912032103.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ftcs",
"FCEF","First Trust CEF Income Opportunity ETF","21.8","38259000","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fcef",
"FCA","First Trust China AlphaDEX Fund","31.905","11166813.81","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fca",
"SKYY","First Trust Cloud Computing ETF","53.14","1564973106.28","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/skyy",
"RNDM","First Trust Developed International Equity Select ETF","51.1946","12798752.3892","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rndm",
"FDT","First Trust Developed Markets Ex-US AlphaDEX Fund","63.35","1333644200","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fdt",
"FDTS","First Trust Developed Markets ex-US Small Cap AlphaDEX Fund","43.85","15347587.7","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fdts",
"FVC","First Trust Dorsey Wright Dynamic Focus 5 ETF","28.2","538620056.4","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fvc",
"FV","First Trust Dorsey Wright Focus 5 ETF","30.26","2702218060.52","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fv",
"IFV","First Trust Dorsey Wright International Focus 5 ETF","22.07","967769544.14","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ifv",
"DWPP","First Trust Dorsey Wright People&#39;s Portfolio ETF","29.08","33442058.16","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwpp",
"DALI","First Trust DorseyWright DALI 1 ETF","20.31","29449540.62","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dali",
"FEM","First Trust Emerging Markets AlphaDEX Fund","28.05","688627556.1","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fem",
"RNEM","First Trust Emerging Markets Equity Select ETF","52.48","5248104.96","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rnem",
"FEMB","First Trust Emerging Markets Local Currency Bond ETF","38.93","54502077.86","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/femb",
"FEMS","First Trust Emerging Markets Small Cap AlphaDEX Fund","41.42","339644082.84","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fems",
"FTSM","First Trust Enhanced Short Maturity ETF","60.01","2112335437.24","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ftsm",
"FEP","First Trust Europe AlphaDEX Fund","40.15","931480080.3","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fep",
"FEUZ","First Trust Eurozone AlphaDEX ETF","43.96","81326087.92","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/feuz",
"FGM","First Trust Germany AlphaDEX Fund","49.8","263940099.6","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fgm",
"FTGC","First Trust Global Tactical Commodity Strategy Fund","21.57","282638914.38","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ftgc",
"FTLB","First Trust Hedged BuyWrite Income ETF","22.3277","8931124.6554","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ftlb",
"HYLS","First Trust High Yield Long/Short ETF","47.31","1187481094.62","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hyls",
"FHK","First Trust Hong Kong AlphaDEX Fund","42.79","4279085.58","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fhk",
